CodigoPosto, NomePosto, MOD, Rendimento, Ciclo, Lote, UPH, UPPH, CAPHora, CAPTurno, Ociosidade, Ocupação, Local
L01LAA1501,InspeçãoDaCélula+DobraDaAba+TesteOCV/IR,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1502,Inkjet,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1503,CorteDosTerminais,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1504,Tampografia,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1505,ModuloNVT,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1506,InspeçãoDaTampografia+SFISAssociação,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1507,AplicaçãoDaPullTape,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1508,DobraPullTape,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1509,AplicaçãoDaPullTape+DobraPullTape,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1510,AlinhamentoTerminais,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1511,PosicionarDaCélulaNoJIGDeSoldagemALaser,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1512,PosicionarPCMNoJIGDeSoldagemALaser,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1513,SoldagemALaser,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1514,InspeçãoDaSoldagemALaser,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1515,DobrarPCM90°,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1516,AplicaçãoFitaDuplaLAce,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1517,AplicarFitaFlat,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1518,DobrarPCM180°+DobrarFitaFlat,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1519,AplicaçãoDaFitaSuperior,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1520,DobraFitaSuperior,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1521,LaminaçãoDaFitaPTT,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1522,SISBAT,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1523,TesteDeEspessura,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1524,TesteDeLargura+Comprimento,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1525,TesteFuncional+SFIS,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
L01LAA1526,PreparaçãoBandejaTesteDeVazamento,1,80%,2.53,1,1138.34,1138.34,1296.00,10823.00,30.70%,69.30%, SemDestino
